,맥주
0,Kloud Original Gravity
1,Kloud Fitz Super Clear
2,Asahi Super Dry
3,Tsingtao
4,Heineken
5,Kirin Ichiban
6,Sapporo Premium Beer
7,Stella Artois
8,Guinness Draught
9,Kronenbourg 1664 Blanc
10,Pilsner Urquell
11,San Miguel
12,OB Premier Pilsner
13,Cass Fresh
14,Eichbaum Apostel Bräu
15,Egger Zwickl
16,Egger Märzenbier
17,Holsten Premium Bier
18,Bintang Pilsener
19,Krombacher Weizen
20,Miller Genuine Draft (MGD)
21,Tiger Radler Lemon
22,Suntory The Premium Malt's
23,Reeper B. Blondes Weissbier
24,Tiger Beer
25,Tsingtao Wheat Beer
26,Erdinger Weissbier
27,Carlsberg Pilsner
28,Budweiser
29,Sapporo Yebisu
30,Paulaner Hefe-Weissbier
31,Desperados
32,Peroni Nastro Azzurro
33,Edelweiss Weissbier Snowfresh
34,Heineken Dark Lager
35,Kozel Černý (Dark) 10°
36,Guinness Original 4.2 (IrelandUK)
37,Jeju Wit Ale
38,Stephans Bräu Premium Pilsener
39,Stephans Bräu Premium Lager
40,Stephans Bräu Hefe-Weizen Naturtrüb Alkoholfrei
41,Franziskaner Hefe-Weissbier
42,Egger Grapefruit Radler
43,Bavaria Pilsener
44,Bavaria 8.6 (Original)
45,Lapin Kulta IV A
46,Grolsch Premium Lager
47,Gambrinus Originál 10° (Desítka)
48,Leffe Brune
49,Löwenbräu Original (4.2)
50,Asahi Super Dry Black
51,Harbin Beer
52,Beck's
53,Hoegaarden Rosée
54,Platinum Pale Ale
55,Brooklyn Special Effects
56,Schöfferhofer Grapefruit
57,Volfas Engelman Grünberger Hefeweizen
58,Berliner Kindl Jubiläums Pilsener Premium
59,Red Rock
60,Erdinger Weissbier Dunkel
61,Warsteiner Premium Verum
